AAPL US Equity,0.1
MSFT US Equity,0.09999994294042665
NVDA US Equity,0.05244595770121154
AVGO US Equity,0.041015409287761234
AMZN US Equity,0.06267452406957144
META US Equity,0.04087548272709107
TSLA US Equity,0.034509988723239064
GOOGL US Equity,0.02268625635379501
GOOG US Equity,0.04142486585036267
COST US Equity,0.02663982631690388
NFLX US Equity,0.015737233569551378
AMD US Equity,0.0181939020540686
ADBE US Equity,0.01369515462343363
PEP US Equity,0.017926654345785845
LIN US Equity,0.013695949776622425
QCOM US Equity,0.017687306043862896
TMUS US Equity,0.02042095328748588
CSCO US Equity,0.012843059417705376
TXN US Equity,0.012636776570208745
AMAT US Equity,0
INTU US Equity,0.010805490720804035
AMGN US Equity,0.01874925764384293
CMCSA US Equity,0.007408889071140038
INTC US Equity,0.00937484147842171
ISRG US Equity,0.005
HON US Equity,0.012112733725147332
BKNG US Equity,0.006836254720178503
MU US Equity,0.012683504052905534
VRTX US Equity,0.01188105585120358
LRCX US Equity,0
ADI US Equity,0.010543784854194615
REGN US Equity,0.0060384491408177945
KLAC US Equity,0.011733583767797356
PANW US Equity,0.007138953804091768
ADP US Equity,0.012213493585649486
GILD US Equity,0
MDLZ US Equity,0
PDD US Equity,0.005
SNPS US Equity,0
ASML US Equity,0.010016855748665766
SBUX US Equity,0
MELI US Equity,0.006907896876037316
CRWD US Equity,0.008609177510921084
CTAS US Equity,0
CDNS US Equity,0.008089190265317283
NXPI US Equity,0.005
MAR US Equity,0.01230639939231502
CSX US Equity,0.010610911283001102
ABNB US Equity,0
PYPL US Equity,0.005615268953394276
ROP US Equity,0
ORLY US Equity,0.01178691693645399
MRVL US Equity,0
CEG US Equity,0
PCAR US Equity,0.00757913386011184
MNST US Equity,0.008713418123958708
ADSK US Equity,0.005
CPRT US Equity,0
AEP US Equity,0.005476884015724635
MCHP US Equity,0
WDAY US Equity,0
ROST US Equity,0
MRNA US Equity,0
CHTR US Equity,0.0061916188078581244
AZN US Equity,0
KDP US Equity,0
PAYX US Equity,0
FTNT US Equity,0.006616708706585381
DXCM US Equity,0.009175944309429947
TTD US Equity,0
ODFL US Equity,0
KHC US Equity,0
VRSK US Equity,0.005000027474572611
FAST US Equity,0
EA US Equity,0.01024182697345137
IDXX US Equity,0
DASH US Equity,0
CTSH US Equity,0.005000061991451192
FANG US Equity,0
GEHC US Equity,0
DDOG US Equity,0
EXC US Equity,0.0076205108986808125
BKR US Equity,0.006010185245298692
LULU US Equity,0.005
CCEP US Equity,0
BIIB US Equity,0
ON US Equity,0
GFS US Equity,0
CDW US Equity,0
XEL US Equity,0
CSGP US Equity,0.0058110788834358365
ZS US Equity,0
TEAM US Equity,0.005
ANSS US Equity,0
TTWO US Equity,0
DLTR US Equity,0.005
WBD US Equity,0
ARM US Equity,0
ILMN US Equity,0.005
MDB US Equity,0
WBA US Equity,0
